2025-12-24 12:58:21,649 | INFO | p6_ai_module | Loading company data: data\processed\companies_cleaned_20251224_115812.csv
2025-12-24 12:58:21,653 | INFO | p6_ai_module | Loaded 170 companies
2025-12-24 12:58:21,660 | INFO | p6_ai_module | Sampled 30 companies for duplicate detection
2025-12-24 12:58:21,664 | INFO | p6_ai_module | Computing embeddings for duplicate detection...
2025-12-24 12:58:23,224 | INFO | p6_ai_module | Calculating pairwise similarities...
2025-12-24 12:58:23,256 | INFO | p6_ai_module | Detected 82 potential duplicates
2025-12-24 12:58:23,269 | INFO | p6_ai_module | Duplicate results saved: data\ai\duplicate_companies_20251224_115823.csv
2025-12-24 12:58:23,276 | INFO | p6_ai_module | Duplicate results saved: data\ai\duplicate_companies_20251224_115823.json
2025-12-24 12:58:23,277 | INFO | p6_ai_module | === PHASE 6: DUPLICATE DETECTION COMPLETE ===
2025-12-24 12:58:23,309 | INFO | PIPELINE | === PHASE 6 COMPLETE ===

2025-12-24 12:58:23,350 | INFO | PIPELINE | === PHASE 7: FINAL EXPORT START ===
2025-12-24 12:58:23,375 | INFO | p7_export_final | === PHASE 7: FINAL EXPORT START ===
2025-12-24 12:58:23,421 | INFO | p7_export_final | Loaded 170 companies, 1068 facilities, 1068 company–facility links
2025-12-24 12:58:23,490 | INFO | p7_export_final | Loaded AI results: 82 rows
2025-12-24 12:58:23,493 | INFO | p7_export_final | Summary statistics computed:
2025-12-24 12:58:23,494 | INFO | p7_export_final | - total_companies: 170
2025-12-24 12:58:23,495 | INFO | p7_export_final | - total_facilities: 1068
2025-12-24 12:58:23,515 | INFO | p7_export_final | - average_facilities_per_company: 6.28
2025-12-24 12:58:23,560 | INFO | p7_export_final | Final datasets and summary statistics exported to data/final
2025-12-24 12:58:23,563 | INFO | p7_export_final | === PHASE 7: FINAL EXPORT COMPLETE ===
2025-12-24 12:58:23,564 | INFO | PIPELINE | === PHASE 7 COMPLETE ===

2025-12-24 12:58:23,565 | INFO | PIPELINE | === PIPELINE EXECUTED SUCCESSFULLY ===
